id,proposal_id,member_id,user_comment,proposer_response,comment_time,response_time
1,5,9,不好意思，我的贊助編號是P108681B 想問一下什麼時候會收到呢～！ 感謝,您好，禮盒已經送出，和豐店到店，應該已經抵達喔～ 感謝您對募資計畫的支持喔～ :),2022-05-18 05:57:12,2022-05-28 23:04:01
2,1,10,GoPlus 已更新連線方式，你們還支援24小時不斷線嗎,丹尼的影片 1 : 40 秒有講解如何連線 GoPlus 功能喔～,2022-05-22 11:54:29,2022-05-23 05:02:05
3,1,3,請問當寶可夢執行背景應用程式or手機休眠時，247還會持續運作抓怪轉牌嗎?,,2022-05-29 06:04:48,
4,5,4,讚！！每日寫日記,太棒了，歡迎在我們FB粉絲頁跟大家分享喔～,2022-05-01 15:23:57,2022-05-26 01:04:09
5,4,8,加油！你的作品很有特色，如果size再完整一些，單價低一些應該很有市場的！,謝謝您的支持與鼓勵！！,2022-05-04 17:14:21,2022-05-30 08:35:11
6,10,1,上次短褲沒跟到，這次上衣短褲共下買。,謝謝您的支持 : ),2022-05-23 11:08:29,2022-05-28 20:09:12
7,1,2,我多訂一個能退嘛,要請您寄一封信到 support@zeczec.com,2022-05-14 16:55:11,2022-05-27 03:03:05
8,2,6,請問軟糖保存期限多久呢？因為同事都是垃圾讓人很需要囤貨 :),您好，保存期限是一年喔！希望可以陪你平靜渡過被垃圾氣到不行的每一天 :),2022-05-04 05:19:24,2022-05-19 21:48:54
9,1,7,有機會可以早點出貨嗎？6/1要等很久,,2022-05-01 13:42:38,
10,3,1,請問留言tag兩個人的活動我不小心讓他的網頁跳出來該怎麼再操作一次，謝謝。,您好！已另外傳送嘖嘖站內信給您，再請查收,2022-05-06 21:08:35,2022-05-25 12:21:24
